Date,Open Price,Close Price,High Price,Low Price,Volume
10-Sep-2009,5017.70,4987.68,5035.34,4956.56,1162158080
11-Sep-2009,4999.97,5011.47,5038.76,4999.97,1060943360
14-Sep-2009,4987.22,5018.85,5020.86,4953.71,745847872
15-Sep-2009,5021.57,5042.13,5062.69,4996.52,925542464
16-Sep-2009,5048.91,5124.13,5131.26,5048.91,1210137344
17-Sep-2009,5138.48,5163.95,5173.13,5138.19,1077180928
18-Sep-2009,5152.62,5172.89,5183.88,5147.13,1643157760
21-Sep-2009,5182.23,5134.36,5182.23,5107.71,998467392
22-Sep-2009,5145.23,5142.60,5189.88,5142.60,825825920
23-Sep-2009,5150.67,5139.37,5175.10,5126.60,1028390144
24-Sep-2009,5133.44,5079.27,5165.41,5073.35,1196194688
25-Sep-2009,5094.26,5082.20,5121.90,5079.02,1023821568
28-Sep-2009,5087.72,5165.70,5170.81,5050.78,967017088
29-Sep-2009,5166.72,5159.72,5184.05,5136.49,930143232
30-Sep-2009,5162.33,5133.90,5190.00,5092.75,1245888256
01-Oct-2009,5136.87,5047.81,5164.37,5043.98,1156844288
02-Oct-2009,5032.57,4988.70,5032.57,4954.98,1429918208
05-Oct-2009,4995.33,5024.33,5024.33,4976.88,964806336
06-Oct-2009,5033.33,5137.98,5149.90,5033.33,1088157312
07-Oct-2009,5133.30,5108.90,5156.21,5104.49,955668480
08-Oct-2009,5138.95,5154.64,5172.82,5117.12,1270550656
09-Oct-2009,5148.63,5161.87,5171.53,5130.37,982802304
12-Oct-2009,5178.49,5210.17,5231.19,5175.89,816630208
13-Oct-2009,5212.12,5154.15,5221.65,5154.15,1231662080
14-Oct-2009,5192.93,5256.10,5261.26,5192.93,1281926656
15-Oct-2009,5267.90,5222.95,5267.90,5218.92,1149836288
16-Oct-2009,5243.29,5190.24,5272.92,5176.38,1227658496
19-Oct-2009,5209.16,5281.54,5281.54,5209.16,919476544
20-Oct-2009,5288.63,5243.40,5298.54,5243.40,1122818816
21-Oct-2009,5251.58,5257.85,5267.98,5174.48,1181838208
22-Oct-2009,5213.76,5207.36,5220.69,5166.46,1093550976
23-Oct-2009,5225.28,5242.57,5299.57,5225.28,1071389056
26-Oct-2009,5248.82,5191.74,5281.12,5166.44,1026178944
27-Oct-2009,5194.94,5200.97,5230.57,5181.91,1567604352
28-Oct-2009,5191.67,5080.42,5191.67,5074.11,1504018048
29-Oct-2009,5075.21,5137.72,5145.58,5042.66,1431734784
30-Oct-2009,5142.75,5044.55,5169.85,5024.43,1483132288
02-Nov-2009,5033.47,5104.50,5115.70,5022.52,1100160896
03-Nov-2009,5082.18,5037.21,5082.18,4985.09,1484524032
04-Nov-2009,5047.43,5107.89,5120.82,5047.43,1023817152
05-Nov-2009,5107.14,5125.64,5154.63,5036.91,1064133184
06-Nov-2009,5127.90,5142.72,5159.04,5077.86,1056416768
09-Nov-2009,5165.04,5235.18,5239.95,5165.04,902090112
10-Nov-2009,5237.13,5230.55,5264.32,5221.51,1117411200
11-Nov-2009,5242.08,5266.75,5301.14,5242.08,1097220864
12-Nov-2009,5267.63,5276.50,5304.94,5254.11,1055296384
13-Nov-2009,5276.75,5296.38,5297.44,5251.27,864790656
16-Nov-2009,5319.08,5382.67,5396.96,5319.08,812581184
17-Nov-2009,5362.07,5345.93,5370.59,5337.01,897344512
18-Nov-2009,5348.21,5342.13,5372.10,5331.64,1075235840
19-Nov-2009,5337.62,5267.70,5343.82,5254.18,1017396480
20-Nov-2009,5272.65,5251.41,5309.39,5224.01,1206572672
23-Nov-2009,5275.14,5355.50,5379.48,5275.14,754061952
24-Nov-2009,5334.21,5323.96,5374.89,5309.13,1231781248
25-Nov-2009,5343.41,5364.81,5372.22,5328.62,1093249024
26-Nov-2009,5344.84,5194.13,5344.84,5189.38,1202753536
27-Nov-2009,5152.86,5245.73,5270.87,5103.78,1511711616
30-Nov-2009,5245.69,5190.68,5270.36,5190.68,1274272512
01-Dec-2009,5191.39,5312.17,5312.17,5191.39,1350466944
